spin up orbital energies: {0: -2.0, 2: 0, 4: 0, 6: 2.0}
spin down orbital energies:  {1: -2.0, 3: 0, 5: 0, 7: 2.0}
spin up indices:  [0, 2]    spin down indices:  [1, 3] 

ground state energy:  -2.8284271247461934
particle number:  4

learning rate =  0.04999999914428645
Find operators
1j [1^ 0^ 5 4] + -1j [5^ 4^ 1 0]
1j [1^ 0^ 7 6] + -1j [7^ 6^ 1 0]
1j [3^ 0^ 7 4] + -1j [7^ 4^ 3 0]
1j [3^ 2^ 5 4] + -1j [5^ 4^ 3 2]
1j [3^ 2^ 7 6] + -1j [7^ 6^ 3 2]
-1j [2^ 1^ 7 4] + 1j [7^ 4^ 2 1]
1j [2^ 1^ 6 5] + -1j [6^ 5^ 2 1]
-1j [3^ 0^ 6 5] + 1j [6^ 5^ 3 0]
with max gradients
[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]

iter: 1 | loss: -2.000000 | norm:  2.828427 | fidelity:  0.470971 | Sz:  0.000000 | S^2: -0.000000
iter: 2 | loss: -2.317278 | norm:  1.736686 | fidelity:  0.542559 | Sz: -0.000000 | S^2:  0.000000
iter: 3 | loss: -2.465790 | norm:  1.111688 | fidelity:  0.597410 | Sz: -0.000000 | S^2:  0.000020
iter: 4 | loss: -2.498872 | norm:  1.183169 | fidelity:  0.636896 | Sz:  0.000000 | S^2:  0.000135
iter: 5 | loss: -2.490165 | norm:  1.412866 | fidelity:  0.669190 | Sz: -0.000000 | S^2:  0.000284
iter: 6 | loss: -2.494238 | norm:  1.500298 | fidelity:  0.702527 | Sz: -0.000000 | S^2:  0.000256
iter: 7 | loss: -2.526797 | norm:  1.433380 | fidelity:  0.739776 | Sz:  0.000000 | S^2:  0.000098
iter: 8 | loss: -2.577254 | norm:  1.279221 | fidelity:  0.779562 | Sz:  0.000000 | S^2:  0.000004
iter: 9 | loss: -2.631566 | norm:  1.090153 | fidelity:  0.819355 | Sz: -0.000000 | S^2:  0.000047
iter: 10 | loss: -2.680066 | norm:  0.890111 | fidelity:  0.856776 | Sz: -0.000000 | S^2:  0.000125
iter: 11 | loss: -2.716704 | norm:  0.712797 | fidelity:  0.889891 | Sz:  0.000000 | S^2:  0.000098
iter: 12 | loss: -2.739562 | norm:  0.614199 | fidelity:  0.917586 | Sz:  0.000000 | S^2:  0.000016
iter: 13 | loss: -2.751203 | norm:  0.619048 | fidelity:  0.939718 | Sz: -0.000000 | S^2:  0.000344
iter: 14 | loss: -2.756439 | norm:  0.678976 | fidelity:  0.956774 | Sz:  0.000000 | S^2:  0.001913
iter: 15 | loss: -2.759840 | norm:  0.727262 | fidelity:  0.969466 | Sz: -0.000000 | S^2:  0.005550
iter: 16 | loss: -2.764460 | norm:  0.721243 | fidelity:  0.978525 | Sz: -0.000000 | S^2:  0.011715
iter: 17 | loss: -2.770852 | norm:  0.647776 | fidelity:  0.984514 | Sz: -0.000000 | S^2:  0.020386
iter: 18 | loss: -2.777222 | norm:  0.522981 | fidelity:  0.987791 | Sz: -0.000000 | S^2:  0.031051
iter: 19 | loss: -2.780972 | norm:  0.393027 | fidelity:  0.988664 | Sz:  0.000000 | S^2:  0.042688
iter: 20 | loss: -2.780619 | norm:  0.334300 | fidelity:  0.987609 | Sz: -0.000000 | S^2:  0.053839
iter: 21 | loss: -2.776695 | norm:  0.379229 | fidelity:  0.985337 | Sz: -0.000000 | S^2:  0.062936
iter: 22 | loss: -2.771325 | norm:  0.454696 | fidelity:  0.982671 | Sz:  0.000000 | S^2:  0.068789
iter: 23 | loss: -2.766850 | norm:  0.498446 | fidelity:  0.980310 | Sz:  0.000000 | S^2:  0.070955
iter: 24 | loss: -2.764593 | norm:  0.492433 | fidelity:  0.978671 | Sz:  0.000000 | S^2:  0.069764
iter: 25 | loss: -2.764463 | norm:  0.446009 | fidelity:  0.977863 | Sz:  0.000000 | S^2:  0.066076
iter: 26 | loss: -2.765446 | norm:  0.386702 | fidelity:  0.977780 | Sz: -0.000000 | S^2:  0.060943
iter: 27 | loss: -2.766530 | norm:  0.350420 | fidelity:  0.978257 | Sz:  0.000000 | S^2:  0.055323
iter: 28 | loss: -2.767317 | norm:  0.354756 | fidelity:  0.979160 | Sz:  0.000000 | S^2:  0.049892
iter: 29 | loss: -2.768224 | norm:  0.379157 | fidelity:  0.980447 | Sz:  0.000000 | S^2:  0.045011
iter: 30 | loss: -2.769919 | norm:  0.392426 | fidelity:  0.982081 | Sz:  0.000000 | S^2:  0.040805
