spin up orbital energies: {0: -2.0, 2: 0, 4: 0, 6: 2.0}
spin down orbital energies:  {1: -2.0, 3: 0, 5: 0, 7: 2.0}
spin up indices:  [0, 2]    spin down indices:  [1, 3] 

ground state energy:  -1.634603054907389
particle number:  4

learning rate =  0.14999999321817448
Find operators
1j [1^ 0^ 5 4] + -1j [5^ 4^ 1 0]
1j [1^ 0^ 7 6] + -1j [7^ 6^ 1 0]
1j [3^ 0^ 7 4] + -1j [7^ 4^ 3 0]
1j [3^ 2^ 5 4] + -1j [5^ 4^ 3 2]
1j [3^ 2^ 7 6] + -1j [7^ 6^ 3 2]
-1j [2^ 1^ 7 4] + 1j [7^ 4^ 2 1]
1j [2^ 1^ 6 5] + -1j [6^ 5^ 2 1]
-1j [3^ 0^ 6 5] + 1j [6^ 5^ 3 0]
with max gradients
[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]

iter: 1 | loss:  2.000000 | norm:  8.485281 | fidelity:  0.383674 | Sz:  0.000000 | S^2: -0.000000
iter: 2 | loss: -0.664880 | norm:  4.051653 | fidelity:  0.631124 | Sz: -0.000000 | S^2:  0.000265
iter: 3 | loss: -1.161535 | norm:  3.081173 | fidelity:  0.723465 | Sz: -0.000000 | S^2:  0.009877
iter: 4 | loss: -0.766606 | norm:  4.606648 | fidelity:  0.729421 | Sz:  0.000000 | S^2:  0.039141
iter: 5 | loss: -0.603116 | norm:  4.455650 | fidelity:  0.746977 | Sz: -0.000000 | S^2:  0.057418
iter: 6 | loss: -0.688391 | norm:  3.571614 | fidelity:  0.781138 | Sz:  0.000000 | S^2:  0.047209
iter: 7 | loss: -0.806716 | norm:  3.130852 | fidelity:  0.819690 | Sz: -0.000000 | S^2:  0.023339
iter: 8 | loss: -0.909151 | norm:  3.196711 | fidelity:  0.858309 | Sz: -0.000000 | S^2:  0.006055
iter: 9 | loss: -1.031177 | norm:  3.005984 | fidelity:  0.894435 | Sz: -0.000000 | S^2:  0.001338
iter: 10 | loss: -1.148281 | norm:  2.548966 | fidelity:  0.922760 | Sz: -0.000000 | S^2:  0.003567
iter: 11 | loss: -1.222100 | norm:  2.316753 | fidelity:  0.940991 | Sz: -0.000000 | S^2:  0.004617
iter: 12 | loss: -1.256380 | norm:  2.479076 | fidelity:  0.950463 | Sz: -0.000000 | S^2:  0.002996
iter: 13 | loss: -1.283673 | norm:  2.643184 | fidelity:  0.952737 | Sz: -0.000000 | S^2:  0.007432
iter: 14 | loss: -1.327626 | norm:  2.516258 | fidelity:  0.948605 | Sz:  0.000000 | S^2:  0.030758
iter: 15 | loss: -1.380526 | norm:  2.101182 | fidelity:  0.938545 | Sz:  0.000000 | S^2:  0.082151
iter: 16 | loss: -1.414983 | norm:  1.611519 | fidelity:  0.923786 | Sz: -0.000000 | S^2:  0.160290
iter: 17 | loss: -1.410617 | norm:  1.444365 | fidelity:  0.907146 | Sz: -0.000000 | S^2:  0.249895
iter: 18 | loss: -1.374216 | norm:  1.723162 | fidelity:  0.892920 | Sz:  0.000000 | S^2:  0.327064
iter: 19 | loss: -1.338196 | norm:  2.035635 | fidelity:  0.885615 | Sz:  0.000000 | S^2:  0.371833
iter: 20 | loss: -1.333812 | norm:  2.098220 | fidelity:  0.887693 | Sz: -0.000000 | S^2:  0.377336
iter: 21 | loss: -1.366420 | norm:  1.868313 | fidelity:  0.898207 | Sz:  0.000000 | S^2:  0.348898
iter: 22 | loss: -1.416199 | norm:  1.451341 | fidelity:  0.913515 | Sz: -0.000000 | S^2:  0.298107
iter: 23 | loss: -1.457377 | norm:  1.067414 | fidelity:  0.929257 | Sz:  0.000000 | S^2:  0.237834
iter: 24 | loss: -1.476813 | norm:  0.975594 | fidelity:  0.942346 | Sz:  0.000000 | S^2:  0.179023
iter: 25 | loss: -1.478851 | norm:  1.118740 | fidelity:  0.951798 | Sz: -0.000000 | S^2:  0.128729
iter: 26 | loss: -1.476077 | norm:  1.232442 | fidelity:  0.957994 | Sz:  0.000000 | S^2:  0.089850
iter: 27 | loss: -1.476757 | norm:  1.221118 | fidelity:  0.961243 | Sz:  0.000000 | S^2:  0.062505
iter: 28 | loss: -1.480853 | norm:  1.129987 | fidelity:  0.961195 | Sz: -0.000000 | S^2:  0.045661
iter: 29 | loss: -1.485546 | norm:  1.046743 | fidelity:  0.957429 | Sz:  0.000000 | S^2:  0.037837
iter: 30 | loss: -1.491158 | norm:  0.997130 | fidelity:  0.950261 | Sz: -0.000000 | S^2:  0.037146
iter: 31 | loss: -1.499909 | norm:  0.932115 | fidelity:  0.940781 | Sz:  0.000000 | S^2:  0.041453
iter: 32 | loss: -1.510855 | norm:  0.832637 | fidelity:  0.930299 | Sz: -0.000000 | S^2:  0.048720
iter: 33 | loss: -1.519327 | norm:  0.759505 | fidelity:  0.919942 | Sz:  0.000000 | S^2:  0.057193
iter: 34 | loss: -1.521731 | norm:  0.764311 | fidelity:  0.910662 | Sz: -0.000000 | S^2:  0.065377
iter: 35 | loss: -1.519060 | norm:  0.791952 | fidelity:  0.903343 | Sz:  0.000000 | S^2:  0.071973
iter: 36 | loss: -1.515119 | norm:  0.774220 | fidelity:  0.898749 | Sz: -0.000000 | S^2:  0.075888
