nohup: ignoring input
spin up orbital energies: {0: -3.0, 2: -1.0, 4: -1.0, 6: 1.0, 8: 1.0, 10: 3.0, 12: -1.0, 14: 1.0}
spin down orbital energies:  {1: -3.0, 3: -1.0, 5: -1.0, 7: 1.0, 9: 1.0, 11: 3.0, 13: -1.0, 15: 1.0}
spin up indices:  [0, 2, 4, 12]    spin down indices:  [1, 3, 5, 13] 

ground state energy:  -8.478303296869614
particle number:  8

learning rate =  0.025000000303171246
Find operators
-1j [5^ 0^ 14 11] + 1j [14^ 11^ 5 0]
1j [4^ 3^ 14 9] + -1j [14^ 9^ 4 3]
1j [5^ 4^ 7 6] + -1j [7^ 6^ 5 4]
-1j [11^ 10^ 13 4] + 1j [13^ 4^ 11 10]
-1j [9^ 6^ 13 2] + 1j [13^ 2^ 9 6]
1j [7^ 6^ 13 12] + -1j [13^ 12^ 7 6]
1j [5^ 4^ 15 14] + -1j [15^ 14^ 5 4]
-1j [9^ 6^ 12 3] + 1j [12^ 3^ 9 6]
1j [5^ 2^ 15 8] + -1j [15^ 8^ 5 2]
-1j [9^ 8^ 12 5] + 1j [12^ 5^ 9 8]
1j [3^ 2^ 15 6] + -1j [15^ 6^ 3 2]
-1j [5^ 2^ 14 9] + 1j [14^ 9^ 5 2]
1j [8^ 7^ 12 3] + -1j [12^ 3^ 8 7]
-1j [11^ 6^ 12 1] + 1j [12^ 1^ 11 6]
1j [10^ 7^ 13 0] + -1j [13^ 0^ 10 7]
-1j [13^ 4^ 14 7] + 1j [14^ 7^ 13 4]
-1j [11^ 6^ 13 0] + 1j [13^ 0^ 11 6]
1j [13^ 4^ 15 6] + -1j [15^ 6^ 13 4]
-1j [9^ 8^ 13 4] + 1j [13^ 4^ 9 8]
1j [5^ 0^ 15 10] + -1j [15^ 10^ 5 0]
1j [12^ 5^ 15 6] + -1j [15^ 6^ 12 5]
-1j [3^ 2^ 14 7] + 1j [14^ 7^ 3 2]
-1j [11^ 10^ 12 5] + 1j [12^ 5^ 11 10]
-1j [2^ 1^ 11 8] + 1j [11^ 8^ 2 1]
1j [1^ 0^ 15 6] + -1j [15^ 6^ 1 0]
1j [1^ 0^ 9 8] + -1j [9^ 8^ 1 0]
1j [12^ 5^ 14 7] + -1j [14^ 7^ 12 5]
1j [1^ 0^ 11 10] + -1j [11^ 10^ 1 0]
1j [2^ 1^ 10 9] + -1j [10^ 9^ 2 1]
-1j [1^ 0^ 14 7] + 1j [14^ 7^ 1 0]
1j [3^ 2^ 11 10] + -1j [11^ 10^ 3 2]
1j [13^ 12^ 15 14] + -1j [15^ 14^ 13 12]
1j [8^ 7^ 13 2] + -1j [13^ 2^ 8 7]
-1j [4^ 1^ 15 10] + 1j [15^ 10^ 4 1]
1j [3^ 0^ 11 8] + -1j [11^ 8^ 3 0]
-1j [3^ 0^ 10 9] + 1j [10^ 9^ 3 0]
1j [4^ 1^ 14 11] + -1j [14^ 11^ 4 1]
1j [10^ 7^ 12 1] + -1j [12^ 1^ 10 7]
1j [3^ 2^ 9 8] + -1j [9^ 8^ 3 2]
-1j [4^ 3^ 15 8] + 1j [15^ 8^ 4 3]
with max gradients
[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]

iter: 1 | loss: -8.000000 | norm:  3.162278 | fidelity:  0.901679 | Sz:  0.000000 | S^2:  0.000000
iter: 2 | loss: -8.347357 | norm:  1.421739 | fidelity:  0.967108 | Sz: -0.000000 | S^2:  0.000000
iter: 3 | loss: -8.417533 | norm:  1.185573 | fidelity:  0.989500 | Sz:  0.000000 | S^2:  0.000030
iter: 4 | loss: -8.387860 | norm:  1.568779 | fidelity:  0.988701 | Sz:  0.000000 | S^2:  0.000366
iter: 5 | loss: -8.367493 | norm:  1.571312 | fidelity:  0.982790 | Sz:  0.000000 | S^2:  0.001333
iter: 6 | loss: -8.367961 | norm:  1.382811 | fidelity:  0.978863 | Sz: -0.000000 | S^2:  0.003236
iter: 7 | loss: -8.377521 | norm:  1.223410 | fidelity:  0.978391 | Sz:  0.000000 | S^2:  0.006070
iter: 8 | loss: -8.386597 | norm:  1.205437 | fidelity:  0.980359 | Sz: -0.000000 | S^2:  0.009386
iter: 9 | loss: -8.397025 | norm:  1.237507 | fidelity:  0.983848 | Sz:  0.000000 | S^2:  0.012612
iter: 10 | loss: -8.414507 | norm:  1.169014 | fidelity:  0.988212 | Sz:  0.000000 | S^2:  0.015242
iter: 11 | loss: -8.435857 | norm:  0.962273 | fidelity:  0.992115 | Sz:  0.000000 | S^2:  0.016845
iter: 12 | loss: -8.451014 | norm:  0.694456 | fidelity:  0.994029 | Sz:  0.000000 | S^2:  0.017065
iter: 13 | loss: -8.452802 | norm:  0.563048 | fidelity:  0.993429 | Sz: -0.000000 | S^2:  0.015773
iter: 14 | loss: -8.442542 | norm:  0.705979 | fidelity:  0.991193 | Sz: -0.000000 | S^2:  0.013239
iter: 15 | loss: -8.429422 | norm:  0.910514 | fidelity:  0.989087 | Sz: -0.000000 | S^2:  0.010105
iter: 16 | loss: -8.424079 | norm:  1.004619 | fidelity:  0.988674 | Sz: -0.000000 | S^2:  0.007066
iter: 17 | loss: -8.430918 | norm:  0.940829 | fidelity:  0.990365 | Sz:  0.000000 | S^2:  0.004571
iter: 18 | loss: -8.445549 | norm:  0.737344 | fidelity:  0.993270 | Sz: -0.000000 | S^2:  0.002757
iter: 19 | loss: -8.459099 | norm:  0.459890 | fidelity:  0.995924 | Sz:  0.000000 | S^2:  0.001567
iter: 20 | loss: -8.464892 | norm:  0.275365 | fidelity:  0.997259 | Sz:  0.000000 | S^2:  0.000886
iter: 21 | loss: -8.462054 | norm:  0.398391 | fidelity:  0.997116 | Sz: -0.000000 | S^2:  0.000634
iter: 22 | loss: -8.455329 | norm:  0.574529 | fidelity:  0.996197 | Sz: -0.000000 | S^2:  0.000795
iter: 23 | loss: -8.450583 | norm:  0.658016 | fidelity:  0.995428 | Sz:  0.000000 | S^2:  0.001347
iter: 24 | loss: -8.450654 | norm:  0.634579 | fidelity:  0.995340 | Sz:  0.000000 | S^2:  0.002206
iter: 25 | loss: -8.454628 | norm:  0.536434 | fidelity:  0.995908 | Sz: -0.000000 | S^2:  0.003227
iter: 26 | loss: -8.459355 | norm:  0.424515 | fidelity:  0.996707 | Sz:  0.000000 | S^2:  0.004246
iter: 27 | loss: -8.462653 | norm:  0.363891 | fidelity:  0.997341 | Sz:  0.000000 | S^2:  0.005175
iter: 28 | loss: -8.464106 | norm:  0.362976 | fidelity:  0.997605 | Sz: -0.000000 | S^2:  0.006059
iter: 29 | loss: -8.464442 | norm:  0.370965 | fidelity:  0.997504 | Sz: -0.000000 | S^2:  0.007008
iter: 30 | loss: -8.464293 | norm:  0.358609 | fidelity:  0.997144 | Sz:  0.000000 | S^2:  0.008037
iter: 31 | loss: -8.463843 | norm:  0.338845 | fidelity:  0.996675 | Sz:  0.000000 | S^2:  0.008970
