nohup: ignoring input
spin up orbital energies: {0: -3.0, 2: -1.0, 4: -1.0, 6: 1.0, 8: 1.0, 10: 3.0, 12: -1.0, 14: 1.0}
spin down orbital energies:  {1: -3.0, 3: -1.0, 5: -1.0, 7: 1.0, 9: 1.0, 11: 3.0, 13: -1.0, 15: 1.0}
spin up indices:  [0, 2, 4, 12]    spin down indices:  [1, 3, 5, 13] 

ground state energy:  -5.95423668105734
particle number:  8

learning rate =  0.05000000060634249
Find operators
1j [3^ 2^ 15 6] + -1j [15^ 6^ 3 2]
1j [5^ 2^ 15 8] + -1j [15^ 8^ 5 2]
1j [4^ 3^ 14 9] + -1j [14^ 9^ 4 3]
-1j [5^ 0^ 14 11] + 1j [14^ 11^ 5 0]
1j [5^ 4^ 7 6] + -1j [7^ 6^ 5 4]
-1j [3^ 2^ 14 7] + 1j [14^ 7^ 3 2]
-1j [9^ 6^ 13 2] + 1j [13^ 2^ 9 6]
1j [7^ 6^ 13 12] + -1j [13^ 12^ 7 6]
1j [5^ 4^ 15 14] + -1j [15^ 14^ 5 4]
-1j [9^ 6^ 12 3] + 1j [12^ 3^ 9 6]
-1j [5^ 2^ 14 9] + 1j [14^ 9^ 5 2]
1j [13^ 4^ 15 6] + -1j [15^ 6^ 13 4]
-1j [11^ 6^ 12 1] + 1j [12^ 1^ 11 6]
-1j [9^ 8^ 12 5] + 1j [12^ 5^ 9 8]
-1j [13^ 4^ 14 7] + 1j [14^ 7^ 13 4]
1j [10^ 7^ 13 0] + -1j [13^ 0^ 10 7]
1j [8^ 7^ 12 3] + -1j [12^ 3^ 8 7]
-1j [11^ 6^ 13 0] + 1j [13^ 0^ 11 6]
-1j [11^ 10^ 13 4] + 1j [13^ 4^ 11 10]
-1j [9^ 8^ 13 4] + 1j [13^ 4^ 9 8]
1j [5^ 0^ 15 10] + -1j [15^ 10^ 5 0]
1j [3^ 2^ 9 8] + -1j [9^ 8^ 3 2]
1j [13^ 12^ 15 14] + -1j [15^ 14^ 13 12]
-1j [2^ 1^ 11 8] + 1j [11^ 8^ 2 1]
1j [1^ 0^ 15 6] + -1j [15^ 6^ 1 0]
1j [1^ 0^ 9 8] + -1j [9^ 8^ 1 0]
1j [12^ 5^ 14 7] + -1j [14^ 7^ 12 5]
1j [1^ 0^ 11 10] + -1j [11^ 10^ 1 0]
1j [3^ 2^ 11 10] + -1j [11^ 10^ 3 2]
-1j [1^ 0^ 14 7] + 1j [14^ 7^ 1 0]
-1j [4^ 3^ 15 8] + 1j [15^ 8^ 4 3]
-1j [4^ 1^ 15 10] + 1j [15^ 10^ 4 1]
-1j [11^ 10^ 12 5] + 1j [12^ 5^ 11 10]
1j [3^ 0^ 11 8] + -1j [11^ 8^ 3 0]
-1j [3^ 0^ 10 9] + 1j [10^ 9^ 3 0]
1j [4^ 1^ 14 11] + -1j [14^ 11^ 4 1]
1j [10^ 7^ 12 1] + -1j [12^ 1^ 10 7]
1j [2^ 1^ 10 9] + -1j [10^ 9^ 2 1]
1j [8^ 7^ 13 2] + -1j [13^ 2^ 8 7]
1j [12^ 5^ 15 6] + -1j [15^ 6^ 12 5]
with max gradients
[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]

iter: 1 | loss: -4.000000 | norm:  6.324555 | fidelity:  0.635416 | Sz:  0.000000 | S^2:  0.000000
iter: 2 | loss: -5.358603 | norm:  2.737114 | fidelity:  0.841583 | Sz:  0.000000 | S^2:  0.000018
iter: 3 | loss: -5.560617 | norm:  2.617673 | fidelity:  0.921647 | Sz:  0.000000 | S^2:  0.000775
iter: 4 | loss: -5.433980 | norm:  3.317221 | fidelity:  0.929462 | Sz:  0.000000 | S^2:  0.006029
iter: 5 | loss: -5.400576 | norm:  3.245389 | fidelity:  0.926212 | Sz:  0.000000 | S^2:  0.018705
iter: 6 | loss: -5.462763 | norm:  2.805125 | fidelity:  0.927549 | Sz:  0.000000 | S^2:  0.039762
iter: 7 | loss: -5.542135 | norm:  2.391699 | fidelity:  0.931560 | Sz:  0.000000 | S^2:  0.068801
iter: 8 | loss: -5.590930 | norm:  2.265479 | fidelity:  0.934381 | Sz: -0.000000 | S^2:  0.104235
iter: 9 | loss: -5.615486 | norm:  2.346716 | fidelity:  0.935568 | Sz: -0.000000 | S^2:  0.143797
iter: 10 | loss: -5.649003 | norm:  2.319663 | fidelity:  0.936944 | Sz:  0.000000 | S^2:  0.183921
iter: 11 | loss: -5.697051 | norm:  2.062455 | fidelity:  0.938235 | Sz: -0.000000 | S^2:  0.219402
iter: 12 | loss: -5.735903 | norm:  1.705189 | fidelity:  0.937654 | Sz:  0.000000 | S^2:  0.244222
iter: 13 | loss: -5.744183 | norm:  1.529202 | fidelity:  0.934814 | Sz: -0.000000 | S^2:  0.253607
iter: 14 | loss: -5.723987 | norm:  1.673400 | fidelity:  0.931692 | Sz:  0.000000 | S^2:  0.246432
iter: 15 | loss: -5.700845 | norm:  1.899569 | fidelity:  0.931517 | Sz: -0.000000 | S^2:  0.225973
iter: 16 | loss: -5.702777 | norm:  1.956019 | fidelity:  0.936491 | Sz: -0.000000 | S^2:  0.197923
iter: 17 | loss: -5.736785 | norm:  1.760699 | fidelity:  0.945994 | Sz:  0.000000 | S^2:  0.167313
iter: 18 | loss: -5.784825 | norm:  1.368382 | fidelity:  0.956824 | Sz: -0.000000 | S^2:  0.137240
iter: 19 | loss: -5.819988 | norm:  0.968485 | fidelity:  0.965249 | Sz: -0.000000 | S^2:  0.109492
iter: 20 | loss: -5.827475 | norm:  0.876555 | fidelity:  0.969333 | Sz: -0.000000 | S^2:  0.085527
iter: 21 | loss: -5.813414 | norm:  1.087158 | fidelity:  0.969818 | Sz: -0.000000 | S^2:  0.067012
iter: 22 | loss: -5.795854 | norm:  1.276558 | fidelity:  0.968974 | Sz: -0.000000 | S^2:  0.055593
iter: 23 | loss: -5.789099 | norm:  1.307562 | fidelity:  0.968726 | Sz: -0.000000 | S^2:  0.051950
iter: 24 | loss: -5.795641 | norm:  1.190326 | fidelity:  0.969666 | Sz: -0.000000 | S^2:  0.055005
iter: 25 | loss: -5.808400 | norm:  1.013277 | fidelity:  0.971198 | Sz: -0.000000 | S^2:  0.062035
iter: 26 | loss: -5.819711 | norm:  0.889372 | fidelity:  0.972480 | Sz:  0.000000 | S^2:  0.069761
iter: 27 | loss: -5.827274 | norm:  0.854756 | fidelity:  0.973070 | Sz: -0.000000 | S^2:  0.076061
iter: 28 | loss: -5.833032 | norm:  0.839878 | fidelity:  0.972926 | Sz:  0.000000 | S^2:  0.081233
iter: 29 | loss: -5.838262 | norm:  0.785132 | fidelity:  0.972048 | Sz:  0.000000 | S^2:  0.087448
iter: 30 | loss: -5.841722 | norm:  0.705675 | fidelity:  0.970423 | Sz: -0.000000 | S^2:  0.096767
iter: 31 | loss: -5.841519 | norm:  0.668230 | fidelity:  0.968204 | Sz:  0.000000 | S^2:  0.109400
