nohup: ignoring input
spin up orbital energies: {0: -3.0, 2: -1.0, 4: -1.0, 6: 1.0, 8: 1.0, 10: 3.0, 12: -1.0, 14: 1.0}
spin down orbital energies:  {1: -3.0, 3: -1.0, 5: -1.0, 7: 1.0, 9: 1.0, 11: 3.0, 13: -1.0, 15: 1.0}
spin up indices:  [0, 2, 4, 12]    spin down indices:  [1, 3, 5, 13] 

ground state energy:  -4.393703062912698
particle number:  8

learning rate =  0.074999997139785
Find operators
1j [5^ 4^ 7 6] + -1j [7^ 6^ 5 4]
1j [5^ 2^ 15 8] + -1j [15^ 8^ 5 2]
1j [4^ 3^ 14 9] + -1j [14^ 9^ 4 3]
-1j [5^ 0^ 14 11] + 1j [14^ 11^ 5 0]
-1j [11^ 10^ 13 4] + 1j [13^ 4^ 11 10]
-1j [9^ 6^ 13 2] + 1j [13^ 2^ 9 6]
1j [7^ 6^ 13 12] + -1j [13^ 12^ 7 6]
1j [5^ 4^ 15 14] + -1j [15^ 14^ 5 4]
-1j [9^ 6^ 12 3] + 1j [12^ 3^ 9 6]
-1j [9^ 8^ 12 5] + 1j [12^ 5^ 9 8]
1j [3^ 2^ 15 6] + -1j [15^ 6^ 3 2]
-1j [3^ 2^ 14 7] + 1j [14^ 7^ 3 2]
1j [8^ 7^ 12 3] + -1j [12^ 3^ 8 7]
-1j [5^ 2^ 14 9] + 1j [14^ 9^ 5 2]
-1j [11^ 6^ 12 1] + 1j [12^ 1^ 11 6]
-1j [13^ 4^ 14 7] + 1j [14^ 7^ 13 4]
1j [10^ 7^ 13 0] + -1j [13^ 0^ 10 7]
-1j [11^ 6^ 13 0] + 1j [13^ 0^ 11 6]
1j [13^ 4^ 15 6] + -1j [15^ 6^ 13 4]
1j [12^ 5^ 15 6] + -1j [15^ 6^ 12 5]
1j [5^ 0^ 15 10] + -1j [15^ 10^ 5 0]
-1j [9^ 8^ 13 4] + 1j [13^ 4^ 9 8]
1j [13^ 12^ 15 14] + -1j [15^ 14^ 13 12]
1j [1^ 0^ 11 10] + -1j [11^ 10^ 1 0]
-1j [2^ 1^ 11 8] + 1j [11^ 8^ 2 1]
-1j [1^ 0^ 14 7] + 1j [14^ 7^ 1 0]
1j [2^ 1^ 10 9] + -1j [10^ 9^ 2 1]
-1j [4^ 3^ 15 8] + 1j [15^ 8^ 4 3]
-1j [4^ 1^ 15 10] + 1j [15^ 10^ 4 1]
-1j [11^ 10^ 12 5] + 1j [12^ 5^ 11 10]
1j [3^ 0^ 11 8] + -1j [11^ 8^ 3 0]
1j [12^ 5^ 14 7] + -1j [14^ 7^ 12 5]
1j [1^ 0^ 9 8] + -1j [9^ 8^ 1 0]
1j [1^ 0^ 15 6] + -1j [15^ 6^ 1 0]
-1j [3^ 0^ 10 9] + 1j [10^ 9^ 3 0]
1j [8^ 7^ 13 2] + -1j [13^ 2^ 8 7]
1j [3^ 2^ 11 10] + -1j [11^ 10^ 3 2]
1j [10^ 7^ 12 1] + -1j [12^ 1^ 10 7]
1j [4^ 1^ 14 11] + -1j [14^ 11^ 4 1]
1j [3^ 2^ 9 8] + -1j [9^ 8^ 3 2]
with max gradients
[1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5]

iter: 1 | loss:  0.000000 | norm:  9.486833 | fidelity:  0.356004 | Sz:  0.000000 | S^2:  0.000000
iter: 2 | loss: -2.951540 | norm:  3.897993 | fidelity:  0.652474 | Sz: -0.000000 | S^2:  0.000166
iter: 3 | loss: -3.200914 | norm:  4.127342 | fidelity:  0.776643 | Sz:  0.000000 | S^2:  0.004957
iter: 4 | loss: -2.866421 | norm:  5.133977 | fidelity:  0.791748 | Sz:  0.000000 | S^2:  0.024785
iter: 5 | loss: -2.818182 | norm:  5.235707 | fidelity:  0.800675 | Sz: -0.000000 | S^2:  0.060679
iter: 6 | loss: -3.065980 | norm:  4.702260 | fidelity:  0.824903 | Sz:  0.000000 | S^2:  0.112069
iter: 7 | loss: -3.404368 | norm:  3.815207 | fidelity:  0.853234 | Sz: -0.000000 | S^2:  0.180498
iter: 8 | loss: -3.614832 | norm:  3.192871 | fidelity:  0.867777 | Sz:  0.000000 | S^2:  0.263992
iter: 9 | loss: -3.636689 | norm:  3.396961 | fidelity:  0.863185 | Sz:  0.000000 | S^2:  0.355924
iter: 10 | loss: -3.590702 | norm:  3.801894 | fidelity:  0.849606 | Sz:  0.000000 | S^2:  0.447973
iter: 11 | loss: -3.593504 | norm:  3.799731 | fidelity:  0.838051 | Sz: -0.000000 | S^2:  0.529747
iter: 12 | loss: -3.658250 | norm:  3.388558 | fidelity:  0.832968 | Sz: -0.000000 | S^2:  0.590118
iter: 13 | loss: -3.730434 | norm:  2.891366 | fidelity:  0.833494 | Sz: -0.000000 | S^2:  0.619174
iter: 14 | loss: -3.762047 | norm:  2.682650 | fidelity:  0.837339 | Sz:  0.000000 | S^2:  0.610824
iter: 15 | loss: -3.761915 | norm:  2.744416 | fidelity:  0.844155 | Sz:  0.000000 | S^2:  0.567326
iter: 16 | loss: -3.770329 | norm:  2.775566 | fidelity:  0.854500 | Sz:  0.000000 | S^2:  0.499385
iter: 17 | loss: -3.809098 | norm:  2.619416 | fidelity:  0.867470 | Sz:  0.000000 | S^2:  0.420529
iter: 18 | loss: -3.868283 | norm:  2.297632 | fidelity:  0.880592 | Sz:  0.000000 | S^2:  0.342353
iter: 19 | loss: -3.920313 | norm:  1.953211 | fidelity:  0.890928 | Sz: -0.000000 | S^2:  0.272864
iter: 20 | loss: -3.942991 | norm:  1.789419 | fidelity:  0.896631 | Sz: -0.000000 | S^2:  0.216709
iter: 21 | loss: -3.936142 | norm:  1.857665 | fidelity:  0.898028 | Sz: -0.000000 | S^2:  0.176412
iter: 22 | loss: -3.918674 | norm:  1.981365 | fidelity:  0.897209 | Sz:  0.000000 | S^2:  0.153671
iter: 23 | loss: -3.911620 | norm:  1.996111 | fidelity:  0.896521 | Sz:  0.000000 | S^2:  0.149232
iter: 24 | loss: -3.923635 | norm:  1.862062 | fidelity:  0.897192 | Sz: -0.000000 | S^2:  0.161637
iter: 25 | loss: -3.948069 | norm:  1.648202 | fidelity:  0.898904 | Sz: -0.000000 | S^2:  0.186662
iter: 26 | loss: -3.972099 | norm:  1.476962 | fidelity:  0.900466 | Sz: -0.000000 | S^2:  0.218405
iter: 27 | loss: -3.988418 | norm:  1.408194 | fidelity:  0.900941 | Sz:  0.000000 | S^2:  0.251461
iter: 28 | loss: -3.997497 | norm:  1.385808 | fidelity:  0.900108 | Sz: -0.000000 | S^2:  0.282602
iter: 29 | loss: -4.002676 | norm:  1.341404 | fidelity:  0.898305 | Sz:  0.000000 | S^2:  0.310634
iter: 30 | loss: -4.006176 | norm:  1.266859 | fidelity:  0.896060 | Sz:  0.000000 | S^2:  0.334998
iter: 31 | loss: -4.008853 | norm:  1.191085 | fidelity:  0.893892 | Sz:  0.000000 | S^2:  0.354722
