nohup: ignoring input
spin up orbital energies: {0: -2.0, 2: 0, 4: 0, 6: 2.0}
spin down orbital energies:  {1: -2.0, 3: 0, 5: 0, 7: 2.0}
spin up indices:  [0, 2]    spin down indices:  [1, 3] 

iter: 1 | loss: -0.000000 | norm:  0.000000 | fidelity:  0.424914 | Sz:  0.000000 | S^2: -0.000000
iter: 2 | loss: -0.000000 | norm:  0.000000 | fidelity:  0.424914 | Sz:  0.000000 | S^2: -0.000000
iter: 3 | loss: -0.000000 | norm:  0.000000 | fidelity:  0.424914 | Sz:  0.000000 | S^2:  0.000000
iter: 4 | loss:  0.000000 | norm:  0.001113 | fidelity:  0.424914 | Sz:  0.000000 | S^2:  0.000000
iter: 5 | loss:  0.246982 | norm:  20.999798 | fidelity:  0.403053 | Sz:  0.000000 | S^2: -0.000000
iter: 6 | loss:  0.000934 | norm:  1.307518 | fidelity:  0.425119 | Sz:  0.000000 | S^2: -0.000000
iter: 7 | loss:  0.158653 | norm:  16.882244 | fidelity:  0.404080 | Sz: -0.000000 | S^2: -0.000000
iter: 8 | loss:  0.173716 | norm:  17.572464 | fidelity:  0.398644 | Sz:  0.000000 | S^2: -0.000000
iter: 9 | loss:  0.040139 | norm:  8.423595 | fidelity:  0.413920 | Sz:  0.000000 | S^2: -0.000000
iter: 10 | loss:  0.007447 | norm:  3.593503 | fidelity:  0.428281 | Sz:  0.000000 | S^2:  0.000000
iter: 11 | loss:  0.083824 | norm:  11.794882 | fidelity:  0.433426 | Sz: -0.000000 | S^2: -0.000000
iter: 12 | loss:  0.105755 | norm:  13.004122 | fidelity:  0.435720 | Sz: -0.000000 | S^2: -0.000000
iter: 13 | loss:  0.049958 | norm:  8.836334 | fidelity:  0.435081 | Sz:  0.000000 | S^2: -0.000000
iter: 14 | loss:  0.002902 | norm:  2.173267 | fidelity:  0.427333 | Sz:  0.000000 | S^2:  0.000000
iter: 15 | loss:  0.013122 | norm:  4.286052 | fidelity:  0.415069 | Sz:  0.000000 | S^2:  0.000000
iter: 16 | loss:  0.047762 | norm:  8.099684 | fidelity:  0.406433 | Sz: -0.000000 | S^2:  0.000000
iter: 17 | loss:  0.054585 | norm:  8.536199 | fidelity:  0.406654 | Sz: -0.000000 | S^2: -0.000000
iter: 18 | loss:  0.028794 | norm:  6.139915 | fidelity:  0.413837 | Sz: -0.000000 | S^2:  0.000000
iter: 19 | loss:  0.002085 | norm:  2.174310 | fidelity:  0.422465 | Sz: -0.000000 | S^2:  0.000000
iter: 20 | loss: -0.001152 | norm:  2.559113 | fidelity:  0.428441 | Sz:  0.000000 | S^2: -0.000000
iter: 21 | loss:  0.012230 | norm:  5.957226 | fidelity:  0.431267 | Sz:  0.000000 | S^2:  0.000000
iter: 22 | loss:  0.015241 | norm:  7.772120 | fidelity:  0.433011 | Sz: -0.000000 | S^2: -0.000000
iter: 23 | loss: -0.010638 | norm:  8.067292 | fidelity:  0.435939 | Sz:  0.000000 | S^2:  0.000000
iter: 24 | loss: -0.067243 | norm:  8.040278 | fidelity:  0.441433 | Sz: -0.000000 | S^2: -0.000000
iter: 25 | loss: -0.161050 | norm:  9.467896 | fidelity:  0.451079 | Sz:  0.000000 | S^2: -0.000000
iter: 26 | loss: -0.324027 | norm:  12.521183 | fidelity:  0.468031 | Sz:  0.000000 | S^2: -0.000000
iter: 27 | loss: -0.595668 | norm:  15.535213 | fidelity:  0.496127 | Sz: -0.000000 | S^2:  0.000000
iter: 28 | loss: -0.961573 | norm:  16.378162 | fidelity:  0.535115 | Sz:  0.000000 | S^2: -0.000000
iter: 29 | loss: -1.315689 | norm:  13.819152 | fidelity:  0.577993 | Sz: -0.000000 | S^2:  0.000000
iter: 30 | loss: -1.516049 | norm:  10.449642 | fidelity:  0.611045 | Sz: -0.000000 | S^2:  0.000000
