nohup: ignoring input
spin up orbital energies: {0: -2.0, 2: 0, 4: 0, 6: 2.0}
spin down orbital energies:  {1: -2.0, 3: 0, 5: 0, 7: 2.0}
spin up indices:  [0, 2]    spin down indices:  [1, 3] 

iter: 1 | loss:  2.000000 | norm:  0.000000 | fidelity:  0.383674 | Sz:  0.000000 | S^2: -0.000000
iter: 2 | loss:  2.000000 | norm:  0.000000 | fidelity:  0.383674 | Sz:  0.000000 | S^2: -0.000000
iter: 3 | loss:  2.000000 | norm:  0.000000 | fidelity:  0.383674 | Sz:  0.000000 | S^2: -0.000000
iter: 4 | loss:  2.000000 | norm:  0.002845 | fidelity:  0.383674 | Sz:  0.000000 | S^2:  0.000000
iter: 5 | loss:  2.552145 | norm:  46.579639 | fidelity:  0.348117 | Sz:  0.000000 | S^2:  0.000000
iter: 6 | loss:  2.002130 | norm:  2.944254 | fidelity:  0.383876 | Sz: -0.000000 | S^2:  0.000000
iter: 7 | loss:  2.356052 | norm:  37.666443 | fidelity:  0.352688 | Sz: -0.000000 | S^2: -0.000000
iter: 8 | loss:  2.387331 | norm:  39.055347 | fidelity:  0.345849 | Sz:  0.000000 | S^2:  0.000000
iter: 9 | loss:  2.088633 | norm:  18.749014 | fidelity:  0.369145 | Sz:  0.000000 | S^2: -0.000000
iter: 10 | loss:  2.017735 | norm:  8.299441 | fidelity:  0.387374 | Sz:  0.000000 | S^2: -0.000000
iter: 11 | loss:  2.189819 | norm:  26.489788 | fidelity:  0.389390 | Sz:  0.000000 | S^2:  0.000000
iter: 12 | loss:  2.235750 | norm:  28.940676 | fidelity:  0.390793 | Sz:  0.000000 | S^2: -0.000000
iter: 13 | loss:  2.109402 | norm:  19.532940 | fidelity:  0.392963 | Sz:  0.000000 | S^2: -0.000000
iter: 14 | loss:  2.005724 | norm:  4.499695 | fidelity:  0.386268 | Sz: -0.000000 | S^2: -0.000000
iter: 15 | loss:  2.031680 | norm:  9.984162 | fidelity:  0.371007 | Sz:  0.000000 | S^2:  0.000000
iter: 16 | loss:  2.109283 | norm:  18.332218 | fidelity:  0.359018 | Sz:  0.000000 | S^2:  0.000000
iter: 17 | loss:  2.121938 | norm:  19.077290 | fidelity:  0.359191 | Sz:  0.000000 | S^2:  0.000000
