nohup: ignoring input
spin up orbital energies: {0: -3.0, 2: -1.0, 4: 0, 6: 2.0, 8: 0, 10: 2.0}
spin down orbital energies:  {1: -3.0, 3: -1.0, 5: 0, 7: 2.0, 9: 0, 11: 2.0}
spin up indices:  [0, 2, 4, 8]    spin down indices:  [1, 3] 

iter: 1 | loss: -2.666667 | norm:  0.000000 | fidelity:  0.737228 | Sz:  1.000000 | S^2:  2.000000
iter: 2 | loss: -2.666667 | norm:  0.000000 | fidelity:  0.737228 | Sz:  1.000000 | S^2:  2.000000
iter: 3 | loss: -2.469456 | norm:  17.626450 | fidelity:  0.711025 | Sz:  1.000003 | S^2:  2.000006
iter: 4 | loss: -2.659449 | norm:  6.233280 | fidelity:  0.736244 | Sz:  1.000001 | S^2:  2.000002
iter: 5 | loss: -2.514117 | norm:  19.161356 | fidelity:  0.716886 | Sz:  1.000011 | S^2:  2.000022
iter: 6 | loss: -2.624645 | norm:  16.849625 | fidelity:  0.731612 | Sz:  0.999994 | S^2:  1.999989
iter: 7 | loss: -2.801378 | norm:  10.298420 | fidelity:  0.755804 | Sz:  1.000002 | S^2:  2.000005
iter: 8 | loss: -2.945115 | norm:  8.641721 | fidelity:  0.776741 | Sz:  1.000000 | S^2:  2.000000
iter: 9 | loss: -3.130056 | norm:  8.315467 | fidelity:  0.807222 | Sz:  1.000005 | S^2:  2.000009
iter: 10 | loss: -3.300860 | norm:  3.504399 | fidelity:  0.844555 | Sz:  1.000004 | S^2:  2.000007
iter: 11 | loss: -3.307335 | norm:  5.485800 | fidelity:  0.867179 | Sz:  0.999998 | S^2:  1.999997
iter: 12 | loss: -3.206761 | norm:  11.516860 | fidelity:  0.871119 | Sz:  1.000000 | S^2:  2.000001
iter: 13 | loss: -3.186961 | norm:  12.658628 | fidelity:  0.874673 | Sz:  1.000000 | S^2:  2.000000
iter: 14 | loss: -3.261732 | norm:  10.006159 | fidelity:  0.880482 | Sz:  0.999997 | S^2:  1.999994
iter: 15 | loss: -3.337125 | norm:  6.735578 | fidelity:  0.879395 | Sz:  1.000003 | S^2:  2.000005
iter: 16 | loss: -3.361783 | norm:  6.712278 | fidelity:  0.870694 | Sz:  0.999998 | S^2:  1.999997
iter: 17 | loss: -3.365363 | norm:  7.699696 | fidelity:  0.864692 | Sz:  1.000001 | S^2:  2.000002
iter: 18 | loss: -3.377329 | norm:  7.123038 | fidelity:  0.866992 | Sz:  1.000002 | S^2:  2.000004
iter: 19 | loss: -3.386129 | norm:  5.981183 | fidelity:  0.873155 | Sz:  0.999998 | S^2:  1.999996
