nohup: ignoring input
spin up orbital energies: {0: -3.0, 2: -1.0, 4: -1.0, 6: 1.0, 8: 1.0, 10: 3.0, 12: -1.0, 14: 1.0}
spin down orbital energies:  {1: -3.0, 3: -1.0, 5: -1.0, 7: 1.0, 9: 1.0, 11: 3.0, 13: -1.0, 15: 1.0}
spin up indices:  [0, 2, 4, 12]    spin down indices:  [1, 3, 5, 13] 

iter: 1 | loss: -8.000000 | norm:  0.000000 | fidelity:  0.901679 | Sz:  0.000000 | S^2:  0.000000
iter: 2 | loss: -8.000000 | norm:  0.000000 | fidelity:  0.901679 | Sz:  0.000000 | S^2:  0.000000
iter: 3 | loss: -7.972422 | norm:  4.456144 | fidelity:  0.897486 | Sz:  0.000000 | S^2:  0.000000
iter: 4 | loss: -7.960014 | norm:  6.102794 | fidelity:  0.895588 | Sz: -0.000000 | S^2: -0.000000
iter: 5 | loss: -7.987064 | norm:  5.039929 | fidelity:  0.899707 | Sz: -0.000000 | S^2: -0.000000
iter: 6 | loss: -8.024998 | norm:  2.219424 | fidelity:  0.905512 | Sz: -0.000000 | S^2: -0.000000
iter: 7 | loss: -8.058964 | norm:  3.808233 | fidelity:  0.910833 | Sz: -0.000000 | S^2: -0.000000
iter: 8 | loss: -8.154032 | norm:  4.053927 | fidelity:  0.926466 | Sz: -0.000000 | S^2:  0.000000
iter: 9 | loss: -8.263135 | norm:  2.932526 | fidelity:  0.947386 | Sz: -0.000000 | S^2:  0.000000
iter: 10 | loss: -8.289589 | norm:  3.279886 | fidelity:  0.960235 | Sz: -0.000000 | S^2: -0.000000
iter: 11 | loss: -8.240993 | norm:  5.466446 | fidelity:  0.961667 | Sz:  0.000000 | S^2:  0.000000
iter: 12 | loss: -8.226918 | norm:  5.752645 | fidelity:  0.962793 | Sz:  0.000000 | S^2: -0.000000
iter: 13 | loss: -8.250704 | norm:  4.678127 | fidelity:  0.963935 | Sz:  0.000000 | S^2: -0.000000
iter: 14 | loss: -8.269613 | norm:  4.219881 | fidelity:  0.961148 | Sz: -0.000000 | S^2:  0.000000
iter: 15 | loss: -8.278867 | norm:  4.620418 | fidelity:  0.957484 | Sz: -0.000000 | S^2:  0.000000
iter: 16 | loss: -8.301892 | norm:  4.032973 | fidelity:  0.958889 | Sz:  0.000000 | S^2: -0.000000
iter: 17 | loss: -8.331363 | norm:  2.353288 | fidelity:  0.963949 | Sz: -0.000000 | S^2:  0.000000
iter: 18 | loss: -8.341401 | norm:  1.556313 | fidelity:  0.967187 | Sz: -0.000000 | S^2: -0.000000
iter: 19 | loss: -8.329547 | norm:  2.840141 | fidelity:  0.966921 | Sz:  0.000000 | S^2:  0.000000
iter: 20 | loss: -8.317353 | norm:  3.758911 | fidelity:  0.965993 | Sz: -0.000000 | S^2:  0.000000
